"terson_mo","region_title","pop","urban_pop","rural_pop","region_code"
"7900000000","Республика Адыгея","453376","213820","239556","79"
"8400000000","Республика Алтай","218063","63214","154849","84"
"8000000000","Республика Башкортостан","4063293","2522024","1541269","80"
"8100000000","Республика Бурятия","984511","581005","403506","81"
"8200000000","Республика Дагестан","3063885","1383676","1680209","82"
"2600000000","Республика Ингушетия","488043","269949","218094","26"
"8300000000","Кабардино-Балкарская Республика","865828","451338","414490","83"
"8500000000","Республика Калмыкия","275413","125025","150388","85"
"9100000000","Карачаево-Черкесская Республика","466305","199223","267082","91"
"8600000000","Республика Карелия","622484","500558","121926","86"
"8700000000","Республика Коми","840873","656821","184052","87"
"3500000000","Республика Крым","1913731","974788","938943","35"
"8800000000","Республика Марий Эл","682333","451366","230967","88"
"8900000000","Республика Мордовия","805056","507034","298022","89"
"9000000000","Республика Северная Осетия-Алания","701765","450865","250900","90"
"9200000000","Республика Татарстан","3894284","2990569","903715","92"
"9300000000","Республика Тыва","321722","173853","147869","93"
"9400000000","Удмуртская Республика","1513044","995728","517316","94"
"9500000000","Республика Хакасия","537513","372892","164621","95"
"9600000000","Чеченская Республика","1436981","501179","935802","96"
"9700000000","Чувашская Республика","1231117","768968","462149","97"
"0100000000","Алтайский край","2350080","1326398","1023682","01"
"7600000000","Забайкальский край","1072806","731915","340891","76"
"0300000000","Краснодарский край","5603420","3075168","2528252","03"
"0400000000","Красноярский край","2876497","2226117","650380","04"
"5700000000","Пермский край","2623122","1988243","634879","57"
"0500000000","Приморский край","1913037","1477094","435943","05"
"0700000000","Ставропольский край","2800674","1636876","1163798","07"
"1000000000","Амурская область","798424","537884","260540","10"
"1100000000","Архангельская область","1155028","900962","254066","11"
"1100000000","Архангельская область без Ненецкого автономного округа","1111031","868913","242118","11"
"1200000000","Астраханская область","1017514","678071","339443","12"
"1400000000","Белгородская область","1549876","1044510","505366","14"
"1500000000","Брянская область","1210982","850937","360045","15"
"1700000000","Владимирская область","1378337","1077289","301048","17"
"1800000000","Волгоградская область","2521276","1940241","581035","18"
"1900000000","Вологодская область","1176689","851560","325129","19"
"2000000000","Воронежская область","2333768","1576374","757394","20"
"2400000000","Ивановская область","1014646","826727","187919","24"
"2500000000","Иркутская область","2404195","1894053","510142","25"
"2700000000","Калининградская область","994599","775122","219477","27"
"2900000000","Калужская область","1012156","769262","242894","29"
"3200000000","Кемеровская область","2694877","2316706","378171","32"
"3300000000","Кировская область","1283238","985180","298058","33"
"3400000000","Костромская область","643324","464477","178847","34"
"3700000000","Курганская область","845537","522828","322709","37"
"3800000000","Курская область","1115237","756880","358357","38"
"4100000000","Ленинградская область","1813816","1157086","656730","41"
"4200000000","Липецкая область","1150201","740253","409948","42"
"4600000000","Московская область","7503385","6123573","1379812","46"
"4700000000","Мурманская область","753557","695764","57793","47"
"2200000000","Нижегородская область","3234752","2572539","662213","22"
"4900000000","Новгородская область","606476","430486","175990","49"
"5000000000","Новосибирская область","2788849","2204326","584523","50"
"5200000000","Омская область","1960081","1424332","535749","52"
"5300000000","Оренбургская область","1977720","1188958","788762","53"
"5400000000","Орловская область","747247","498910","248337","54"
"5600000000","Пензенская область","1331655","912181","419474","56"
"5800000000","Псковская область","636546","451143","185403","58"
"6000000000","Ростовская область","4220452","2871412","1349040","60"
"6100000000","Рязанская область","1121474","805902","315572","61"
"3600000000","Самарская область","3193514","2554179","639335","36"
"6300000000","Саратовская область","2462950","1864459","598491","63"
"6400000000","Сахалинская область","490181","402043","88138","64"
"6500000000","Свердловская область","4325256","3666856","658400","65"
"6600000000","Смоленская область","949348","682708","266640","66"
"6800000000","Тамбовская область","1033552","629296","404256","68"
"2800000000","Тверская область","1283873","972859","311014","28"
"6900000000","Томская область","1078280","780804","297476","69"
"7000000000","Тульская область","1491855","1115742","376113","70"
"7100000000","Тюменская область","3692400","2978216","714184","71"
"7100000000","Тюменская область без автономных округов","1498779","998513","500266","71"
"7300000000","Ульяновская область","1246618","938767","307851","73"
"7500000000","Челябинская область","3493036","2888662","604374","75"
"7800000000","Ярославская область","1265684","1035103","230581","78"
"4500000000","Москва","12506468","12342615","163853","45"
"4000000000","Санкт-Петербург","5351935","5351935","0","40"
"6700000000","Севастополь","436670","405976","30694","67"
"9900000000","Еврейская автономная область","162014","111415","50599","99"
"7200000000","Тюменская область",NA,NA,NA,"72"
