"terson_mo","title","pop","urban_pop","rural_pop","region_code","region_title"
"0162044800","Сельское поселение Новошипуновский сельсовет","1147","0","1147","01","Алтайский край"
"0162045900","Сельское поселение Суетский сельсовет","646","0","646","01","Алтайский край"
"0162443400","Сельское поселение Червовский сельсовет","521","0","521","01","Алтайский край"
"0162142400","Сельское поселение Заковряшинский сельсовет","973","0","973","01","Алтайский край"
"0162041200","Сельское поселение Берёзовский сельсовет","1275","0","1275","01","Алтайский край"
"0162442300","Сельское поселение Кытмановский сельсовет","4953","0","4953","01","Алтайский край"
"0162043000","Сельское поселение Краснощёковский сельсовет","4893","0","4893","01","Алтайский край"
"0162046800","Сельское поселение Усть-Беловский сельсовет","262","0","262","01","Алтайский край"
"0162044200","Сельское поселение Маралихинский сельсовет","2231","0","2231","01","Алтайский край"
"0162047200","Сельское поселение Усть-Пустынский сельсовет","348","0","348","01","Алтайский край"
"0162144200","Сельское поселение Новодубровский сельсовет","627","0","627","01","Алтайский край"
"0162042400","Сельское поселение Карповский сельсовет","1310","0","1310","01","Алтайский край"
"0162047000","Сельское поселение Усть-Козлухинский сельсовет","846","0","846","01","Алтайский край"
"0162140600","Сельское поселение Боровской сельсовет","676","0","676","01","Алтайский край"
"0162143600","Сельское поселение Маловолчанский сельсовет","573","0","573","01","Алтайский край"
"0162300000","Курьинский муниципальный район","9185","0","9185","01","Алтайский край"
"0162247200","Сельское поселение Мирабилитский сельсовет","711","0","711","01","Алтайский край"
"0162143000","Сельское поселение Крутихинский сельсовет","3777","0","3777","01","Алтайский край"
"0162343300","Сельское поселение Казанцевский сельсовет","457","0","457","01","Алтайский край"
"0162048100","Сельское поселение Харловский сельсовет","1222","0","1222","01","Алтайский край"
"0162341100","Сельское поселение Бугрышихинский сельсовет","79","0","79","01","Алтайский край"
"0162144800","Сельское поселение Прыганский сельсовет","932","0","932","01","Алтайский край"
"0162040600","Сельское поселение Акимовский сельсовет","508","0","508","01","Алтайский край"
"0162141200","Сельское поселение Волчно-Бурлинский сельсовет","1261","0","1261","01","Алтайский край"
"0162141800","Сельское поселение Долганский сельсовет","1292","0","1292","01","Алтайский край"
"0162348800","Сельское поселение Усть-Таловский сельсовет","861","0","861","01","Алтайский край"
"0162400000","Кытмановский муниципальный район","12384","0","12384","01","Алтайский край"
"0162440700","Сельское поселение Дмитро-Титовский сельсовет","989","0","989","01","Алтайский край"
"0161649400","Сельское поселение Толстовский сельсовет","604","0","604","01","Алтайский край"
"0161649700","Сельское поселение Филипповский сельсовет","365","0","365","01","Алтайский край"
"0162342200","Сельское поселение Ивановский сельсовет","851","0","851","01","Алтайский край"
"0162445700","Сельское поселение Октябрьский сельсовет","1262","0","1262","01","Алтайский край"
"0162241100","Сельское поселение Ананьевский сельсовет","712","0","712","01","Алтайский край"
"0162448000","Сельское поселение Семено-Красиловский сельсовет","913","0","913","01","Алтайский край"
"0162100000","Крутихинский муниципальный район","10787","0","10787","01","Алтайский край"
"0162449300","Сельское поселение Тягунский сельсовет","1509","0","1509","01","Алтайский край"
"0162346800","Сельское поселение Новофирсовский сельсовет","433","0","433","01","Алтайский край"
"0162041700","Сельское поселение Верх-Камышенский сельсовет","1339","0","1339","01","Алтайский край"
"0161744600","Сельское поселение Петуховский сельсовет","817","0","817","01","Алтайский край"
"0161746800","Сельское поселение Покровский сельсовет","454","0","454","01","Алтайский край"
"0161747900","Сельское поселение Северский сельсовет","1487","0","1487","01","Алтайский край"
"0161800000","Косихинский муниципальный район","15931","0","15931","01","Алтайский край"
"0161840600","Сельское поселение Баюновский сельсовет","1290","0","1290","01","Алтайский край"
"0162444600","Сельское поселение Новотарабинский сельсовет","645","0","645","01","Алтайский край"
"0161842000","Сельское поселение Глушинский сельсовет","498","0","498","01","Алтайский край"
"0162446900","Сельское поселение Порошинский сельсовет","451","0","451","01","Алтайский край"
"0161843000","Сельское поселение Контошинский сельсовет","1351","0","1351","01","Алтайский край"
"0162345500","Сельское поселение Кузнецовский сельсовет","493","0","493","01","Алтайский край"
"0162244400","Сельское поселение Златополинский сельсовет","773","0","773","01","Алтайский край"
"0162449400","Сельское поселение Тяхтинский сельсовет","525","0","525","01","Алтайский край"
"0162500000","Локтевский муниципальный район","25399","12654","12745","01","Алтайский край"
"0161846600","Сельское поселение Плотниковский сельсовет","391","0","391","01","Алтайский край"
"0161846800","Сельское поселение Полковниковский сельсовет","759","0","759","01","Алтайский край"
"0161900001","Красногорский муниципальный район","15209","0","15209","01","Алтайский край"
"0161940501","Сельское поселение Берёзовский сельсовет","1238","0","1238","01","Алтайский край"
"0161940701","Сельское поселение Быстрянский сельсовет","2411","0","2411","01","Алтайский край"
"0161942301","Сельское поселение Красногорский сельсовет","5880","0","5880","01","Алтайский край"
"0161944501","Сельское поселение Новозыковский сельсовет","917","0","917","01","Алтайский край"
"0161944701","Сельское поселение Новоталовский сельсовет","541","0","541","01","Алтайский край"
"0162343800","Сельское поселение Колыванский сельсовет","1223","0","1223","01","Алтайский край"
"0162049200","Сельское поселение Чинетинский сельсовет","658","0","658","01","Алтайский край"
"0161948901","Сельское поселение Усть-Кажинский сельсовет","1312","0","1312","01","Алтайский край"
"0162000000","Краснощёковский муниципальный район","16685","0","16685","01","Алтайский край"
"0163043200","Сельское поселение Колыванский сельсовет","1867","0","1867","01","Алтайский край"
"0163043700","Сельское поселение Комсомольский сельсовет","2866","0","2866","01","Алтайский край"
"0163044900","Сельское поселение Лебяжинский сельсовет","960","0","960","01","Алтайский край"
"0163045500","Сельское поселение Новозоринский сельсовет","3372","0","3372","01","Алтайский край"
"0163046000","Сельское поселение Павловский сельсовет","14572","0","14572","01","Алтайский край"
"0163046200","Сельское поселение Павлозаводской сельсовет","1560","0","1560","01","Алтайский край"
"0163046400","Сельское поселение Прутской сельсовет","2594","0","2594","01","Алтайский край"
"0163046600","Сельское поселение Рогозихинский сельсовет","1125","0","1125","01","Алтайский край"
"0163047300","Сельское поселение Стуковский сельсовет","1679","0","1679","01","Алтайский край"
"0163048200","Сельское поселение Черемновский сельсовет","4796","0","4796","01","Алтайский край"
"0163048500","Сельское поселение Чернопятовский сельсовет","657","0","657","01","Алтайский край"
"0163049000","Сельское поселение Шаховский сельсовет","1766","0","1766","01","Алтайский край"
"0163100000","Панкрушихинский муниципальный район","11938","0","11938","01","Алтайский край"
"0163141100","Сельское поселение Велижанский сельсовет","785","0","785","01","Алтайский край"
"0163141700","Сельское поселение Железнодорожный сельсовет","471","0","471","01","Алтайский край"
"0163142200","Сельское поселение Зятьковский сельсовет","1126","0","1126","01","Алтайский край"
"0163143300","Сельское поселение Кривинский сельсовет","558","0","558","01","Алтайский край"
"0163144400","Сельское поселение Луковский сельсовет","934","0","934","01","Алтайский край"
"0163145600","Сельское поселение Панкрушихинский сельсовет","5020","0","5020","01","Алтайский край"
"0163146700","Сельское поселение Подойниковский сельсовет","1841","0","1841","01","Алтайский край"
"0161841400","Сельское поселение Верх-Жилинский сельсовет","398","0","398","01","Алтайский край"
"0162144600","Сельское поселение Подборный сельсовет","676","0","676","01","Алтайский край"
"0161842500","Сельское поселение Каркавинский сельсовет","645","0","645","01","Алтайский край"
"0162200000","Кулундинский муниципальный район","22103","0","22103","01","Алтайский край"
"0163241200","Сельское поселение Баюновоключевский сельсовет","1901","0","1901","01","Алтайский край"
"0162243300","Сельское поселение Воздвиженский сельсовет","345","0","345","01","Алтайский край"
"0163242000","Сельское поселение Бобровский сельсовет","5226","0","5226","01","Алтайский край"
"0162245500","Сельское поселение Константиновский сельсовет","991","0","991","01","Алтайский край"
"0162246000","Сельское поселение Кулундинский сельсовет","14617","0","14617","01","Алтайский край"
"0162246600","Сельское поселение Курский сельсовет","1351","0","1351","01","Алтайский край"
"0163243400","Сельское поселение Зудиловский сельсовет","5306","0","5306","01","Алтайский край"
"0162247700","Сельское поселение Октябрьский сельсовет","1902","0","1902","01","Алтайский край"
"0162248800","Сельское поселение Семёновский сельсовет","701","0","701","01","Алтайский край"
"0163244900","Сельское поселение Первомайский сельсовет","5545","0","5545","01","Алтайский край"
"0163245400","Сельское поселение Повалихинский сельсовет","3370","0","3370","01","Алтайский край"
"0163246100","Сельское поселение Рассказихинский сельсовет","860","0","860","01","Алтайский край"
"0161945601","Сельское поселение Соусканихинский сельсовет","988","0","988","01","Алтайский край"
"0161947801","Сельское поселение Усть-Ишинский сельсовет","1922","0","1922","01","Алтайский край"
"0162344400","Сельское поселение Краснознаменский сельсовет","870","0","870","01","Алтайский край"
"0163249600","Сельское поселение Солнечный сельсовет","565","0","565","01","Алтайский край"
"0162346600","Сельское поселение Курьинский сельсовет","3284","0","3284","01","Алтайский край"
"0163300000","Петропавловский муниципальный район","11808","0","11808","01","Алтайский край"
"0162347700","Сельское поселение Трусовский сельсовет","634","0","634","01","Алтайский край"
"0163340700","Сельское поселение Антоньевский сельсовет","1453","0","1453","01","Алтайский край"
"0163341400","Сельское поселение Зеленодольский сельсовет","1600","0","1600","01","Алтайский край"
"0163342300","Сельское поселение Камышенский сельсовет","1432","0","1432","01","Алтайский край"
"0163343400","Сельское поселение Николаевский сельсовет","993","0","993","01","Алтайский край"
"0163344000","Сельское поселение Новообинский сельсовет","817","0","817","01","Алтайский край"
"0163344600","Сельское поселение Паутовский сельсовет","941","0","941","01","Алтайский край"
"0163345700","Сельское поселение Петропавловский сельсовет","2571","0","2571","01","Алтайский край"
"0163347900","Сельское поселение Соловьихинский сельсовет","634","0","634","01","Алтайский край"
"0163400000","Поспелихинский муниципальный район","23140","0","23140","01","Алтайский край"
"0162449100","Сельское поселение Сунгайский сельсовет","616","0","616","01","Алтайский край"
"0163442200","Сельское поселение 12 Лет Октября сельсовет","765","0","765","01","Алтайский край"
"0163443300","Сельское поселение Калмыцко-Мысовской сельсовет","1123","0","1123","01","Алтайский край"
"0163443900","Сельское поселение Клепечихинский сельсовет","1316","0","1316","01","Алтайский край"
"0162510100","Городское поселение Город Горняк","12654","12654","0","01","Алтайский край"
"016251010011000","Горняк","12654","12654","0","01","Алтайский край"
"0162540400","Сельское поселение Александровский сельсовет","449","0","449","01","Алтайский край"
"0162540900","Сельское поселение Второкаменский сельсовет","723","0","723","01","Алтайский край"
"0163147800","Сельское поселение Романовский сельсовет","487","0","487","01","Алтайский край"
"0164700000","Тальменский муниципальный район","46430","19098","27332","01","Алтайский край"
"0163200000","Первомайский муниципальный район","54256","0","54256","01","Алтайский край"
"016471510511000","Тальменка","19098","19098","0","01","Алтайский край"
"0164740600","Сельское поселение Анисимовский сельсовет","1435","0","1435","01","Алтайский край"
"0164741500","Сельское поселение Зайцевский сельсовет","733","0","733","01","Алтайский край"
"0164742400","Сельское поселение Казанцевский сельсовет","289","0","289","01","Алтайский край"
"0164743000","Сельское поселение Кашкарагаихинский сельсовет","1302","0","1302","01","Алтайский край"
"0164743600","Сельское поселение Курочкинский сельсовет","1090","0","1090","01","Алтайский край"
"0164744200","Сельское поселение Ларичихинский сельсовет","2543","0","2543","01","Алтайский край"
"0164744800","Сельское поселение Луговской сельсовет","1948","0","1948","01","Алтайский край"
"0164745100","Сельское поселение Лушниковский сельсовет","528","0","528","01","Алтайский край"
"0164745600","Сельское поселение Новоозёрский сельсовет","5123","0","5123","01","Алтайский край"
"0164745900","Сельское поселение Новоперуновский сельсовет","1963","0","1963","01","Алтайский край"
"0164746200","Сельское поселение Новотроицкий сельсовет","887","0","887","01","Алтайский край"
"0164746600","Сельское поселение Озёрский сельсовет","5319","0","5319","01","Алтайский край"
"0163247200","Сельское поселение Санниковский сельсовет","4532","0","4532","01","Алтайский край"
"0163248300","Сельское поселение Северный сельсовет","1814","0","1814","01","Алтайский край"
"0164747500","Сельское поселение Староперуновский сельсовет","595","0","595","01","Алтайский край"
"0164748200","Сельское поселение Шадринцевский сельсовет","534","0","534","01","Алтайский край"
"0164749200","Сельское поселение Шишкинский сельсовет","751","0","751","01","Алтайский край"
"0164800000","Тогульский муниципальный район","7708","0","7708","01","Алтайский край"
"0164840600","Сельское поселение Антипинский сельсовет","1717","0","1717","01","Алтайский край"
"0164843000","Сельское поселение Новоиушинский сельсовет","340","0","340","01","Алтайский край"
"0164843600","Сельское поселение Старотогульский сельсовет","1063","0","1063","01","Алтайский край"
"0164844600","Сельское поселение Тогульский сельсовет","4410","0","4410","01","Алтайский край"
